2019-01-07 22:05:03,116, p2, s1, 0bd26172-6c46-4935-9258-b2120496be8d, S1 completed
2019-01-07 22:05:03,116, p2, s0, 0a2da6c4-430c-40d3-936f-d74f303fbc94, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 0a2da6c4-430c-40d3-936f-d74f303fbc94, S1 completed
2019-01-07 22:05:03,116, p2, s0, 36f2edb8-901a-4b82-9567-0648f1c053f5, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 36f2edb8-901a-4b82-9567-0648f1c053f5, S1 completed
2019-01-07 22:05:03,116, p2, s0, f02a35a4-ba36-4c13-adcb-bcb6adbb96cf, S1 initiated
2019-01-07 22:05:03,116, p2, s1, f02a35a4-ba36-4c13-adcb-bcb6adbb96cf, S1 completed
2019-01-07 22:05:03,116, p2, s0, 20db9aee-0a60-4889-a50e-d77582be0a15, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 20db9aee-0a60-4889-a50e-d77582be0a15, S1 completed
2019-01-07 22:05:03,116, p2, s0, e1b36d05-d2d0-4bf5-839c-071aaa7e3bc6, S1 initiated
2019-01-07 22:05:03,116, p2, s1, e1b36d05-d2d0-4bf5-839c-071aaa7e3bc6, S1 completed
2019-01-07 22:05:03,116, p2, s0, f47e41b7-af86-4635-856a-e962a00af974, S1 initiated
2019-01-07 22:05:03,116, p2, s1, f47e41b7-af86-4635-856a-e962a00af974, S1 completed
2019-01-07 22:05:03,116, p2, s0, 4c734a4d-32d2-4a75-aad8-8fe3922e4596, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 4c734a4d-32d2-4a75-aad8-8fe3922e4596, S1 completed
2019-01-07 22:05:03,116, p2, s0, ab2b47a7-75fe-4f05-9529-edee659aed81, S1 initiated
2019-01-07 22:05:03,116, p2, s1, ab2b47a7-75fe-4f05-9529-edee659aed81, S1 completed
2019-01-07 22:05:03,116, p2, s0, 52f2bcdf-997d-40d2-97a2-b7da979b169b, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 52f2bcdf-997d-40d2-97a2-b7da979b169b, S1 completed
2019-01-07 22:05:03,117, p2, s0, 1320201b-d7b3-4e7c-ae2c-1e5cd040b486, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 1320201b-d7b3-4e7c-ae2c-1e5cd040b486, S1 completed
2019-01-07 22:05:03,117, p2, s0, 51c4a6ff-1edc-4bf3-b8cb-c040b2ba7543, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 51c4a6ff-1edc-4bf3-b8cb-c040b2ba7543, S1 completed
2019-01-07 22:05:03,117, p2, s0, 862eeefe-7610-4238-b66e-1fdb10431256, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 862eeefe-7610-4238-b66e-1fdb10431256, S1 completed
2019-01-07 22:05:03,117, p2, s0, a644b76f-4a75-436a-8ea3-06aee6c2397d, S1 initiated
2019-01-07 22:05:03,117, p2, s1, a644b76f-4a75-436a-8ea3-06aee6c2397d, S1 completed
2019-01-07 22:05:03,117, p2, s0, 8b13a657-0e51-4e66-9e75-94a51a1b47a0, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 8b13a657-0e51-4e66-9e75-94a51a1b47a0, S1 completed
2019-01-07 22:05:03,117, p2, s0, ac2fcecf-7709-4fdf-85bc-85e677912915, S1 initiated
2019-01-07 22:05:03,117, p2, s1, ac2fcecf-7709-4fdf-85bc-85e677912915, S1 completed
2019-01-07 22:05:03,117, p2, s0, 20ea3c76-7504-4066-9e7c-c301fd097eb4, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 20ea3c76-7504-4066-9e7c-c301fd097eb4, S1 completed
2019-01-07 22:05:03,117, p2, s0, 54eeb2e4-11ca-43be-baa9-1b51ad6b32a3, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 54eeb2e4-11ca-43be-baa9-1b51ad6b32a3, S1 completed
2019-01-07 22:05:03,117, p2, s0, aec7eb56-6d88-4cf7-90aa-a49b63ce3334, S1 initiated
2019-01-07 22:05:03,117, p2, s1, aec7eb56-6d88-4cf7-90aa-a49b63ce3334, S1 completed
2019-01-07 22:05:03,117, p2, s0, 59447a9c-eb08-4701-b84b-e6ce70d4b380, S1 initiated
2019-01-07 22:05:03,117, p2, s1, 59447a9c-eb08-4701-b84b-e6ce70d4b380, S1 completed
2019-01-07 22:05:03,117, p2, s0, 90008d1c-f911-4dec-ba65-6e98e0bf03c3, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 90008d1c-f911-4dec-ba65-6e98e0bf03c3, S1 completed
2019-01-07 22:05:03,118, p2, s0, 4adbfa43-5e0d-4ab0-b95f-b4fafa8cc16c, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 4adbfa43-5e0d-4ab0-b95f-b4fafa8cc16c, S1 completed
2019-01-07 22:05:03,118, p2, s0, 0c902edb-a4cb-4609-8ef6-855b43d3e1b0, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 0c902edb-a4cb-4609-8ef6-855b43d3e1b0, S1 completed
2019-01-07 22:05:03,118, p2, s0, f227ed57-259e-47f6-a96b-5bafe4997bcd, S1 initiated
2019-01-07 22:05:03,118, p2, s1, f227ed57-259e-47f6-a96b-5bafe4997bcd, S1 completed
2019-01-07 22:05:03,118, p2, s0, 0cec3cad-121c-492d-ab80-76787f31d3ee, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 0cec3cad-121c-492d-ab80-76787f31d3ee, S1 completed
2019-01-07 22:05:03,118, p2, s0, f0cb6130-7b0f-4422-ae99-036af0bfecb9, S1 initiated
2019-01-07 22:05:03,118, p2, s1, f0cb6130-7b0f-4422-ae99-036af0bfecb9, S1 completed
2019-01-07 22:05:03,118, p2, s0, 5f008948-67cb-4b3a-ab3f-a8422f4725d9, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 5f008948-67cb-4b3a-ab3f-a8422f4725d9, S1 completed
2019-01-07 22:05:03,118, p2, s0, 7921a2b2-a18f-4f46-bdd5-ce00ce1dc342, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 7921a2b2-a18f-4f46-bdd5-ce00ce1dc342, S1 completed
2019-01-07 22:05:03,118, p2, s0, 28db5716-c2b1-4f89-bf66-cf19bed414ac, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 28db5716-c2b1-4f89-bf66-cf19bed414ac, S1 completed
2019-01-07 22:05:03,118, p2, s0, eac30545-2d9b-4b9a-9d66-cbe420147ae3, S1 initiated
2019-01-07 22:05:03,118, p2, s1, eac30545-2d9b-4b9a-9d66-cbe420147ae3, S1 completed
2019-01-07 22:05:03,118, p2, s0, 168773b3-2057-48a0-afe7-21d4fcc1bb9a, S1 initiated
2019-01-07 22:05:03,118, p2, s1, 168773b3-2057-48a0-afe7-21d4fcc1bb9a, S1 completed
2019-01-07 22:05:03,119, p2, s0, 4222f20e-e1af-4c63-af83-f93dcc8bff05, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 4222f20e-e1af-4c63-af83-f93dcc8bff05, S1 completed
2019-01-07 22:05:03,119, p2, s0, 838de9aa-3e95-4e1d-bb60-cb954c8df522, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 838de9aa-3e95-4e1d-bb60-cb954c8df522, S1 completed
2019-01-07 22:05:03,119, p2, s0, bc8608a0-7c67-4724-94b6-6d13d4538b38, S1 initiated
2019-01-07 22:05:03,119, p2, s1, bc8608a0-7c67-4724-94b6-6d13d4538b38, S1 completed
2019-01-07 22:05:03,119, p2, s0, 289227be-f9f0-4ba0-a7a9-b9bf5c2c9c58, S1 initiated
2019-01-07 22:05:03,119, p2, s1, 289227be-f9f0-4ba0-a7a9-b9bf5c2c9c58, S1 completed
2019-01-07 22:05:03,119, p2, s0, a52bb87a-e10c-47a7-9781-7643744f50a1, S1 initiated
