2019-01-07 23:13:08,894, p3, s0, 5fc4eb2c-c78f-40a7-b733-85d3b5c480b9, S1 initiated
2019-01-07 23:13:08,894, p3, s1, 5fc4eb2c-c78f-40a7-b733-85d3b5c480b9, S1 completed
2019-01-07 23:13:08,894, p3, s0, 159889f4-77f4-4dd9-9bd6-4c5036150928, S1 initiated
2019-01-07 23:13:08,894, p3, s1, 159889f4-77f4-4dd9-9bd6-4c5036150928, S1 completed
2019-01-07 23:13:08,894, p3, s0, e3669544-9ec5-498f-9279-e3970c89af15, S1 initiated
2019-01-07 23:13:08,894, p3, s1, e3669544-9ec5-498f-9279-e3970c89af15, S1 completed
2019-01-07 23:13:08,894, p3, s0, 1a8822a3-e954-4531-8ee5-013b014f44df, S1 initiated
2019-01-07 23:13:08,894, p3, s1, 1a8822a3-e954-4531-8ee5-013b014f44df, S1 completed
2019-01-07 23:13:08,894, p3, s0, 6a7a2251-f84a-4a27-8946-6acedcb6483e, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 6a7a2251-f84a-4a27-8946-6acedcb6483e, S1 completed
2019-01-07 23:13:08,895, p3, s0, 8aacf12e-8f21-4b84-b3b4-29aefc091b29, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 8aacf12e-8f21-4b84-b3b4-29aefc091b29, S1 completed
2019-01-07 23:13:08,895, p3, s0, 16de4c31-ab88-4254-80c1-27db76b2dbd1, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 16de4c31-ab88-4254-80c1-27db76b2dbd1, S1 completed
2019-01-07 23:13:08,895, p3, s0, db171aa3-fb9d-4fb6-9cd9-63028eaf42b4, S1 initiated
2019-01-07 23:13:08,895, p3, s1, db171aa3-fb9d-4fb6-9cd9-63028eaf42b4, S1 completed
2019-01-07 23:13:08,895, p3, s0, d5d40f4c-528d-4f00-9cd9-796ab16a8b81, S1 initiated
2019-01-07 23:13:08,895, p3, s1, d5d40f4c-528d-4f00-9cd9-796ab16a8b81, S1 completed
2019-01-07 23:13:08,895, p3, s0, c8231e05-3767-4a20-8faa-ba397f6287d6, S1 initiated
2019-01-07 23:13:08,895, p3, s1, c8231e05-3767-4a20-8faa-ba397f6287d6, S1 completed
2019-01-07 23:13:08,895, p3, s0, 81a357bb-1947-4adf-8a8d-489f2684a8a0, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 81a357bb-1947-4adf-8a8d-489f2684a8a0, S1 completed
2019-01-07 23:13:08,895, p3, s0, 3a70ce0d-b99c-426b-b7db-574888a0080c, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 3a70ce0d-b99c-426b-b7db-574888a0080c, S1 completed
2019-01-07 23:13:08,895, p3, s0, 6267a1c6-2dd9-4973-9d15-3608dd92b5b5, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 6267a1c6-2dd9-4973-9d15-3608dd92b5b5, S1 completed
2019-01-07 23:13:08,895, p3, s0, 1047edf1-29c4-488f-957a-b7682af1d3d1, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 1047edf1-29c4-488f-957a-b7682af1d3d1, S1 completed
2019-01-07 23:13:08,895, p3, s0, 55b3659d-b509-4c2a-a486-60ca2c3fb1d2, S1 initiated
2019-01-07 23:13:08,895, p3, s1, 55b3659d-b509-4c2a-a486-60ca2c3fb1d2, S1 completed
2019-01-07 23:13:08,896, p3, s0, b6bded1a-13cf-4669-9501-0f22e55b0254, S1 initiated
2019-01-07 23:13:08,896, p3, s1, b6bded1a-13cf-4669-9501-0f22e55b0254, S1 completed
2019-01-07 23:13:08,896, p3, s0, 168b7171-ff83-4bec-bba4-fe5ca9a5feb5, S1 initiated
2019-01-07 23:13:08,896, p3, s1, 168b7171-ff83-4bec-bba4-fe5ca9a5feb5, S1 completed
2019-01-07 23:13:08,896, p3, s0, d300927d-a01f-4a41-a2e6-522278bb21e1, S1 initiated
2019-01-07 23:13:08,896, p3, s1, d300927d-a01f-4a41-a2e6-522278bb21e1, S1 completed
2019-01-07 23:13:08,896, p3, s0, e9f66fc4-29cb-42fb-9170-2de9c62c6de2, S1 initiated
2019-01-07 23:13:08,896, p3, s1, e9f66fc4-29cb-42fb-9170-2de9c62c6de2, S1 completed
2019-01-07 23:13:08,896, p3, s0, 96e7fa8f-74e5-4a9a-97a1-355c00f5244e, S1 initiated
2019-01-07 23:13:08,896, p3, s1, 96e7fa8f-74e5-4a9a-97a1-355c00f5244e, S1 completed
2019-01-07 23:13:08,896, p3, s0, 9ed7a540-3167-4622-9434-e1d7f6c9b17d, S1 initiated
2019-01-07 23:13:08,896, p3, s1, 9ed7a540-3167-4622-9434-e1d7f6c9b17d, S1 completed
2019-01-07 23:13:08,896, p3, s0, 3a374e34-ac9b-4f17-99a8-f07cf3140c99, S1 initiated
2019-01-07 23:13:08,896, p3, s1, 3a374e34-ac9b-4f17-99a8-f07cf3140c99, S1 completed
2019-01-07 23:13:08,896, p3, s0, cd34abf6-4d87-4701-a82a-c7197f4393b2, S1 initiated
2019-01-07 23:13:08,896, p3, s1, cd34abf6-4d87-4701-a82a-c7197f4393b2, S1 completed
2019-01-07 23:13:08,896, p3, s0, eb4bd62d-08c2-428b-8eaa-2c47492a6c5d, S1 initiated
2019-01-07 23:13:08,896, p3, s1, eb4bd62d-08c2-428b-8eaa-2c47492a6c5d, S1 completed
2019-01-07 23:13:08,896, p3, s0, 822685ea-5cef-4fb7-8bf6-53aa1a7335f2, S1 initiated
2019-01-07 23:13:08,896, p3, s1, 822685ea-5cef-4fb7-8bf6-53aa1a7335f2, S1 completed
2019-01-07 23:13:08,896, p3, s0, 17bbe54e-b6f8-4e4a-b0fd-1210b9c65dd7, S1 initiated
2019-01-07 23:13:08,897, p3, s1, 17bbe54e-b6f8-4e4a-b0fd-1210b9c65dd7, S1 completed
