2019-01-07 16:18:19,196, p1, s1, 3744b14f-dc88-4774-9da8-f60e06247ae6, S1 completed
2019-01-07 16:18:19,196, p1, s0, 5f5bf9c7-de60-472f-96a6-86ec6df7c61c, S1 initiated
2019-01-07 16:18:19,207, p1, s1, 5f5bf9c7-de60-472f-96a6-86ec6df7c61c, S1 completed
2019-01-07 16:18:19,207, p1, s0, 9ce2a829-617b-44fe-82f1-1699b32ed8ff, S1 initiated
2019-01-07 16:18:19,217, p1, s1, 9ce2a829-617b-44fe-82f1-1699b32ed8ff, S1 completed
2019-01-07 16:18:19,218, p1, s0, 6f150604-7c2c-40a6-a911-b04a578e9de6, S1 initiated
2019-01-07 16:18:19,228, p1, s1, 6f150604-7c2c-40a6-a911-b04a578e9de6, S1 completed
2019-01-07 16:18:19,228, p1, s0, d48d0d08-d05e-492a-9f2f-7b783e1799b1, S1 initiated
2019-01-07 16:18:19,239, p1, s1, d48d0d08-d05e-492a-9f2f-7b783e1799b1, S1 completed
2019-01-07 16:18:19,239, p1, s0, b426afdb-d419-46a3-b64b-5ed598417bcd, S1 initiated
2019-01-07 16:18:19,250, p1, s1, b426afdb-d419-46a3-b64b-5ed598417bcd, S1 completed
2019-01-07 16:18:19,250, p1, s0, 34859ed1-3bf2-4586-af5f-6d88116969c8, S1 initiated
2019-01-07 16:18:19,260, p1, s1, 34859ed1-3bf2-4586-af5f-6d88116969c8, S1 completed
2019-01-07 16:18:19,261, p1, s0, d899bd5d-c66e-40d6-b149-059b75546ff7, S1 initiated
2019-01-07 16:18:19,271, p1, s1, d899bd5d-c66e-40d6-b149-059b75546ff7, S1 completed
2019-01-07 16:18:19,271, p1, s0, c380d5e6-3c7d-4a9a-8a49-61de3d3599a7, S1 initiated
2019-01-07 16:18:19,282, p1, s1, c380d5e6-3c7d-4a9a-8a49-61de3d3599a7, S1 completed
2019-01-07 16:18:19,282, p1, s0, a1515982-4d76-4b0a-a7f4-b2e31e5bfc32, S1 initiated
2019-01-07 16:18:19,292, p1, s1, a1515982-4d76-4b0a-a7f4-b2e31e5bfc32, S1 completed
2019-01-07 16:18:19,293, p1, s0, c7756e9f-2101-4c77-8fdb-431fdbf7b78d, S1 initiated
2019-01-07 16:18:19,303, p1, s1, c7756e9f-2101-4c77-8fdb-431fdbf7b78d, S1 completed
2019-01-07 16:18:19,303, p1, s0, 098e4422-e461-47f6-881e-7ca24eadd238, S1 initiated
2019-01-07 16:18:19,314, p1, s1, 098e4422-e461-47f6-881e-7ca24eadd238, S1 completed
2019-01-07 16:18:19,314, p1, s0, 2d21df18-20bf-40a3-8f8a-51da5a86d1a3, S1 initiated
2019-01-07 16:18:19,324, p1, s1, 2d21df18-20bf-40a3-8f8a-51da5a86d1a3, S1 completed
2019-01-07 16:18:19,325, p1, s0, cea92146-41f5-4352-9587-065c11c9f46c, S1 initiated
2019-01-07 16:18:19,335, p1, s1, cea92146-41f5-4352-9587-065c11c9f46c, S1 completed
2019-01-07 16:18:19,335, p1, s0, 60517b77-7e2a-4f22-b624-2a62af1a6125, S1 initiated
2019-01-07 16:18:19,346, p1, s1, 60517b77-7e2a-4f22-b624-2a62af1a6125, S1 completed
2019-01-07 16:18:19,346, p1, s0, 1e9d2a2c-727c-4a7a-8640-21e974bcf334, S1 initiated
2019-01-07 16:18:19,356, p1, s1, 1e9d2a2c-727c-4a7a-8640-21e974bcf334, S1 completed
2019-01-07 16:18:19,357, p1, s0, f8650cf8-c990-44be-b235-45c7a54f5a22, S1 initiated
2019-01-07 16:18:19,367, p1, s1, f8650cf8-c990-44be-b235-45c7a54f5a22, S1 completed
2019-01-07 16:18:19,367, p1, s0, 008620a2-e9ce-4f4b-90cc-f481f2a6c820, S1 initiated
2019-01-07 16:18:19,378, p1, s1, 008620a2-e9ce-4f4b-90cc-f481f2a6c820, S1 completed
2019-01-07 16:18:19,378, p1, s0, f15b8070-5aa3-496a-bfc3-79ee5e57e0a3, S1 initiated
2019-01-07 16:18:19,388, p1, s1, f15b8070-5aa3-496a-bfc3-79ee5e57e0a3, S1 completed
2019-01-07 16:18:19,389, p1, s0, e03af6f5-49c1-418e-9834-ff06f34e40fd, S1 initiated
2019-01-07 16:18:19,399, p1, s1, e03af6f5-49c1-418e-9834-ff06f34e40fd, S1 completed
2019-01-07 16:18:19,399, p1, s0, 479f359c-2a5b-4567-96a8-6991c191ace6, S1 initiated
2019-01-07 16:18:19,410, p1, s1, 479f359c-2a5b-4567-96a8-6991c191ace6, S1 completed
2019-01-07 16:18:19,410, p1, s0, f387e54c-3cdc-480b-9b02-2774fcb3f296, S1 initiated
2019-01-07 16:18:19,420, p1, s1, f387e54c-3cdc-480b-9b02-2774fcb3f296, S1 completed
2019-01-07 16:18:19,421, p1, s0, dc20773d-ce90-4e55-90de-3d4b6d1be542, S1 initiated
2019-01-07 16:18:19,431, p1, s1, dc20773d-ce90-4e55-90de-3d4b6d1be542, S1 completed
2019-01-07 16:18:19,431, p1, s0, 3f5e89cd-44c3-4696-a25d-2360a60b1831, S1 initiated
2019-01-07 16:18:19,442, p1, s1, 3f5e89cd-44c3-4696-a25d-2360a60b1831, S1 completed
2019-01-07 16:18:19,442, p1, s0, bf9bddfe-5b98-4760-aa63-55d77128fe4d, S1 initiated
2019-01-07 16:18:19,452, p1, s1, bf9bddfe-5b98-4760-aa63-55d77128fe4d, S1 completed
2019-01-07 16:18:19,453, p1, s0, 61a2a746-38af-4219-b4f7-3a6f9a8ee0b0, S1 initiated
2019-01-07 16:18:19,463, p1, s1, 61a2a746-38af-4219-b4f7-3a6f9a8ee0b0, S1 completed
2019-01-07 16:18:19,463, p1, s0, 2904cb3f-aae5-4aed-9aa0-21432f102b97, S1 initiated
2019-01-07 16:18:19,474, p1, s1, 2904cb3f-aae5-4aed-9aa0-21432f102b97, S1 completed
2019-01-07 16:18:19,474, p1, s0, d5265ad3-0c5f-4b9a-9d6c-559724753cc6, S1 initiated
2019-01-07 16:18:19,484, p1, s1, d5265ad3-0c5f-4b9a-9d6c-559724753cc6, S1 completed
2019-01-07 16:18:19,485, p1, s0, b8c31984-6ae6-47f5-a9bf-1b83aa5ff4d9, S1 initiated
2019-01-07 16:18:19,495, p1, s1, b8c31984-6ae6-47f5-a9bf-1b83aa5ff4d9, S1 completed
2019-01-07 16:18:19,495, p1, s0, fcb74ea3-6118-4cf4-aa4c-4d37fc4f9c06, S1 initiated
2019-01-07 16:18:19,506, p1, s1, fcb74ea3-6118-4cf4-aa4c-4d37fc4f9c06, S1 completed
2019-01-07 16:18:19,506, p1, s0, f19f24c3-dda4-42bb-8749-a07131afde0c, S1 initiated
2019-01-07 16:18:19,516, p1, s1, f19f24c3-dda4-42bb-8749-a07131afde0c, S1 completed
2019-01-07 16:18:19,517, p1, s0, b69bb309-d822-45c4-9f01-3fa71f5c2728, S1 initiated
2019-01-07 16:18:19,527, p1, s1, b69bb309-d822-45c4-9f01-3fa71f5c2728, S1 completed
2019-01-07 16:18:19,527, p1, s0, e8da2e60-6306-4881-802d-1d844c3db97e, S1 initiated
2019-01-07 16:18:19,538, p1, s1, e8da2e60-6306-4881-802d-1d844c3db97e, S1 completed
2019-01-07 16:18:19,547, p1, s0, dc2e7c45-5d9a-47ba-ba2e-8c2327e8479e, S1 initiated
2019-01-07 16:18:19,557, p1, s1, dc2e7c45-5d9a-47ba-ba2e-8c2327e8479e, S1 completed
2019-01-07 16:18:19,557, p1, s0, 4728d0f4-dddf-41ae-ae94-9b1c39497291, S1 initiated
2019-01-07 16:18:19,567, p1, s1, 4728d0f4-dddf-41ae-ae94-9b1c39497291, S1 completed
2019-01-07 16:18:19,568, p1, s0, 1d60c045-9bb6-46ae-bccb-00c7cb214b04, S1 initiated
2019-01-07 16:18:19,578, p1, s1, 1d60c045-9bb6-46ae-bccb-00c7cb214b04, S1 completed
2019-01-07 16:18:19,578, p1, s0, 805034ff-c769-4cb2-a095-1353b7a5fa1a, S1 initiated
2019-01-07 16:18:19,588, p1, s1, 805034ff-c769-4cb2-a095-1353b7a5fa1a, S1 completed
2019-01-07 16:18:19,588, p1, s0, 0c85c9f0-b33d-4b46-9cc8-21ade88cdb30, S1 initiated
2019-01-07 16:18:19,599, p1, s1, 0c85c9f0-b33d-4b46-9cc8-21ade88cdb30, S1 completed
2019-01-07 16:18:19,599, p1, s0, 4d1bff51-3d7d-4112-8838-c5a638ae03b4, S1 initiated
2019-01-07 16:18:19,609, p1, s1, 4d1bff51-3d7d-4112-8838-c5a638ae03b4, S1 completed
2019-01-07 16:18:19,610, p1, s0, 39d85fbc-6804-4018-aae5-d6a560dd6a59, S1 initiated
2019-01-07 16:18:19,620, p1, s1, 39d85fbc-6804-4018-aae5-d6a560dd6a59, S1 completed
2019-01-07 16:18:19,620, p1, s0, eb4c43cc-3f45-4f03-9e5b-69aa3d029c21, S1 initiated
2019-01-07 16:18:19,631, p1, s1, eb4c43cc-3f45-4f03-9e5b-69aa3d029c21, S1 completed
2019-01-07 16:18:19,631, p1, s0, c60e809d-52d6-4d7a-b46c-74e0c9ffab8c, S1 initiated
2019-01-07 16:18:19,642, p1, s1, c60e809d-52d6-4d7a-b46c-74e0c9ffab8c, S1 completed
2019-01-07 16:18:19,642, p1, s0, c100aaed-e722-4de7-ae86-e6b0cd20b0d5, S1 initiated
2019-01-07 16:18:19,652, p1, s1, c100aaed-e722-4de7-ae86-e6b0cd20b0d5, S1 completed
2019-01-07 16:18:19,653, p1, s0, 827e36e4-0adc-4450-b593-3b5a2cbb82fb, S1 initiated
2019-01-07 16:18:19,663, p1, s1, 827e36e4-0adc-4450-b593-3b5a2cbb82fb, S1 completed
2019-01-07 16:18:19,663, p1, s0, 5e4cd7a6-9ea4-464f-9cda-9665fca297fa, S1 initiated
2019-01-07 16:18:19,674, p1, s1, 5e4cd7a6-9ea4-464f-9cda-9665fca297fa, S1 completed
2019-01-07 16:18:19,674, p1, s0, 54af19f8-a776-4deb-b124-5c2d6219e825, S1 initiated
2019-01-07 16:18:19,684, p1, s1, 54af19f8-a776-4deb-b124-5c2d6219e825, S1 completed
2019-01-07 16:18:19,685, p1, s0, 24c49eb7-a976-41b9-a9de-bb1ae12fc917, S1 initiated
2019-01-07 16:18:19,695, p1, s1, 24c49eb7-a976-41b9-a9de-bb1ae12fc917, S1 completed
2019-01-07 16:18:19,695, p1, s0, ed40b92b-2860-4302-b8c1-1fd3dd51cd59, S1 initiated
2019-01-07 16:18:19,706, p1, s1, ed40b92b-2860-4302-b8c1-1fd3dd51cd59, S1 completed
2019-01-07 16:18:19,706, p1, s0, 7d15f60f-4074-48a3-a170-26f4d6c1cf00, S1 initiated
2019-01-07 16:18:19,716, p1, s1, 7d15f60f-4074-48a3-a170-26f4d6c1cf00, S1 completed
2019-01-07 16:18:19,717, p1, s0, 80246830-baf3-4b60-bc1b-64762c14a9fe, S1 initiated
2019-01-07 16:18:19,727, p1, s1, 80246830-baf3-4b60-bc1b-64762c14a9fe, S1 completed
2019-01-07 16:18:19,727, p1, s0, 37013e41-cd37-4e54-9e8f-d25acb0d1af3, S1 initiated
2019-01-07 16:18:19,738, p1, s1, 37013e41-cd37-4e54-9e8f-d25acb0d1af3, S1 completed
2019-01-07 16:18:19,738, p1, s0, 887f089e-b987-48d8-a2f9-c48e051ab616, S1 initiated
2019-01-07 16:18:19,748, p1, s1, 887f089e-b987-48d8-a2f9-c48e051ab616, S1 completed
2019-01-07 16:18:19,749, p1, s0, a480807e-e88a-4e50-98d9-bbcac25622ea, S1 initiated
2019-01-07 16:18:19,759, p1, s1, a480807e-e88a-4e50-98d9-bbcac25622ea, S1 completed
2019-01-07 16:18:19,759, p1, s0, 9aed0c81-cd54-4eec-b9fb-bf801c37a073, S1 initiated
2019-01-07 16:18:19,770, p1, s1, 9aed0c81-cd54-4eec-b9fb-bf801c37a073, S1 completed
2019-01-07 16:18:19,770, p1, s0, 6b272f0f-3c85-4c28-a298-baeb79bdea66, S1 initiated
2019-01-07 16:18:19,780, p1, s1, 6b272f0f-3c85-4c28-a298-baeb79bdea66, S1 completed
2019-01-07 16:18:19,781, p1, s0, dc0acf57-370b-4e6b-8f19-d853170fae95, S1 initiated
2019-01-07 16:18:19,791, p1, s1, dc0acf57-370b-4e6b-8f19-d853170fae95, S1 completed
